"CO_UF";"DS_SIGLA";"CO_STATUS";"DS_NOME";"DS_NOMEPAD";"CO_SUCESS";"CO_ALTER";"CO_REGIAO";"NU_AREA";"NU_ORDEM"
"11";"RO";"ATIVO";"Rondônia";"RONDONIA";"";"";"1";237590.547;"1"
"12";"AC";"ATIVO";"Acre";"ACRE";"";"";"1";164123.040;"1"
"13";"AM";"ATIVO";"Amazonas";"AMAZONAS";"";"";"1";1559159.148;"1"
"14";"RR";"ATIVO";"Roraima";"RORAIMA";"";"";"1";224300.506;"1"
"15";"PA";"ATIVO";"Pará";"PARA";"";"";"1";1247954.666;"1"
"16";"AP";"ATIVO";"Amapá";"AMAPA";"";"";"1";142828.521;"1"
"17";"TO";"ATIVO";"Tocantins";"TOCANTINS";"";"";"1";277720.520;"1"
"21";"MA";"ATIVO";"Maranhão";"MARANHAO";"";"";"2";331937.450;"1"
"22";"PI";"ATIVO";"Piauí";"PIAUI";"";"";"2";251577.738;"1"
"23";"CE";"ATIVO";"Ceará";"CEARA";"";"";"2";148920.472;"1"
"24";"RN";"ATIVO";"Rio Grande do Norte";"RIO GRANDE DO NORTE";"";"";"2";52811.047;"1"
"25";"PB";"ATIVO";"Paraíba";"PARAIBA";"";"";"2";56469.778;"1"
"26";"PE";"ATIVO";"Pernambuco";"PERNAMBUCO";"";";20";"2";98148.323;"1"
"27";"AL";"ATIVO";"Alagoas";"ALAGOAS";"";"";"2";27778.506;"1"
"28";"SE";"ATIVO";"Sergipe";"SERGIPE";"";"";"2";21915.116;"1"
"29";"BA";"ATIVO";"Bahia";"BAHIA";"";"";"2";564733.177;"1"
"31";"MG";"ATIVO";"Minas Gerais";"MINAS GERAIS";"";"";"3";586522.122;"1"
"32";"ES";"ATIVO";"Espírito Santo";"ESPIRITO SANTO";"";"";"3";46095.583;"1"
"33";"RJ";"ATIVO";"Rio de Janeiro";"RIO DE JANEIRO";"";"";"3";43780.172;"1"
"35";"SP";"ATIVO";"São Paulo";"SAO PAULO";"";"";"3";248222.801;"1"
"41";"PR";"ATIVO";"Paraná";"PARANA";"";"";"4";199307.922;"1"
"42";"SC";"ATIVO";"Santa Catarina";"SANTA CATARINA";"";"";"4";95736.165;"1"
"43";"RS";"ATIVO";"Rio Grande do Sul";"RIO GRANDE DO SUL";"";"";"4";281730.223;"1"
"50";"MS";"ATIVO";"Mato Grosso do Sul";"MATO GROSSO DO SUL";"";"";"5";357145.532;"1"
"51";"MT";"ATIVO";"Mato Grosso";"MATO GROSSO";"";"";"5";903366.192;"1"
"52";"GO";"ATIVO";"Goiás";"GOIAS";"";"";"5";340111.783;"1"
"53";"DF";"ATIVO";"Distrito Federal";"DISTRITO FEDERAL";"";"";"5";5779.999;"1"
"00";"IG";"IGNOR";"Ignorado/exterior";"IGNORADO/EXTERIOR";"";"";"0";0.000;"8"
"20";"FN";"EXTINT";"Território Federal de Fernando de Noronha";"TERRITORIO FEDERAL DE FERNANDO DE NORONHA";"26";"";"2";0.000;"6"
